Topic,Frequency,date,Name
23,1,28/4/2020,23_mrt_bus_buses_train
24,23,28/4/2020,24_team_hard_teams_appreciate
25,11,28/4/2020,25_test_testing_tested_tests
26,13,28/4/2020,26_dorms_dormitories_dormitory_dorm
27,36,28/4/2020,27_lot_alot_thanksa_thankspm
28,9,28/4/2020,28_circuit_breaker_measures_extend
29,13,28/4/2020,29_sg_united_strong_congratulations
30,14,28/4/2020,30_bangladesh_bangladeshi_love_respect
31,13,28/4/2020,31_drink_language_sip_tea
32,2,28/4/2020,32_otters_animals_otter_fishes
33,12,28/4/2020,33_pray_praying_prayers_prayer
35,11,28/4/2020,35_salon_barber_haircut_hairdresser
36,4,28/4/2020,36_sad_suicide_cry_crying
