Topic,Frequency,date,Name
12,8,5/7/2020,12_money_pay_salary_donate
13,29,5/7/2020,13_choice_paa_lc_pr
14,2,5/7/2020,14_psp_ps_go_win
15,5,5/7/2020,15_virus_infected_vaccine_testing
16,9,5/7/2020,16_singapura_majullah_singapureans_singa...
17,3,5/7/2020,17_love_boos_animal_honesty
18,4,5/7/2020,18_thank_thanku_thankyou_notifying
19,1,5/7/2020,19_congrats_congratulation_congratulated...
20,8,5/7/2020,20_pray_bless_blessing_blessings
21,6,5/7/2020,21_father_fathers_dad_blessed
22,7,5/7/2020,22_election_elections_campaign_polling
23,7,5/7/2020,23_luck_lucky_best_fortune
24,17,5/7/2020,24_vote_opposition_election_parties
25,3,5/7/2020,25_sg_united_together_sar
26,9,5/7/2020,26_best_rocky_betterment_choices
27,6,5/7/2020,27_years_time_countdown_admin
30,4,5/7/2020,30_talk_listening_dialogue_louder
32,3,5/7/2020,32_mask_eating_eat_coffee
36,2,5/7/2020,36_vote_voted_votes_voting
37,1,5/7/2020,37_covid_test_ge_markets
38,6,5/7/2020,38_hope_future_better_tomorrow
39,14,5/7/2020,39_vote_election_votepap_papy
40,1,5/7/2020,40_pink_tie_color_wear
42,2,5/7/2020,42_goodmorning_goodluck_lidder_mmorning
43,8,5/7/2020,43_support_supporting_heartedly_izzy
44,3,5/7/2020,44_wishes_wish_administration_victories
46,1,5/7/2020,46_parliament_opposition_debates_debate
47,3,5/7/2020,47_hello_dear_cavair_archana
52,1,5/7/2020,52_evening_night_goodnight_nights
54,3,5/7/2020,54_hero_super_superman_star
55,7,5/7/2020,55_job_jobs_worked_rewarded
58,5,5/7/2020,58_allah_bless_pray_insha
59,2,5/7/2020,59_video_watching_watch_screen
60,1,5/7/2020,60_malaysia_malay_malaysian_malays
61,1,5/7/2020,61_afternoon_osaka_dear_japan
63,1,5/7/2020,63_shake_hands_fist_hand
64,2,5/7/2020,64_thanks_pro_sb_thankspro
65,1,5/7/2020,65_smile_happy_smiling_glad
66,5,5/7/2020,66_bless_diversity_squash_blessfor
67,4,5/7/2020,67_win_seat_winner_seats
68,1,5/7/2020,68_day_holiday_weekend_holidays
69,7,5/7/2020,69_win_victory_champion_winner
-1,1010,7/7/2020,-1_support_well_need_leader
0,99,7/7/2020,0_lim_jia_lai_jin
1,151,7/7/2020,1_health_healthy_stay_leadership
2,77,7/7/2020,2_singaporean_singaporeans_opposition_pa...
3,125,7/7/2020,3_frontliners_fu_fuel_frontliner
4,26,7/7/2020,4_minister_prime_cabinet_ministers
5,79,7/7/2020,5_congratulations_onward_journey_go
6,9,7/7/2020,6_mask_wear_wearing_masks
